duration;c_0001;Consent;Use1;Prof;Imp1;Imp2;MET1;Charge_PM;Charge_Vendors;Charge_Users;Charge_Develop;Charge_Noone;Charge_HH_PM;Charge_HH_Vendor;Charge_HH_Users;Charge_HH_Developers;Charge_HH_Noone;Household;Income;PolOrient;Gender;Age;Education;EnergyConsumption;Environmentalist;SeriousPart
659;1;1;4;5;4;7;Have solar panels on my house. ;30;70;0;0;0;0;50;50;0;0;2;5;4;2;36;6;1;2;5
733;0;1;2;5;6;6;I would not use it unless in dire need of its services.;25;10;50;15;0;25;30;40;5;0;4;3;3;2;23;4;2;1;5
211;1;1;1;1;4;4;Unsure;0;0;100;0;0;0;0;100;0;0;3;7;2;2;46;4;1;1;5
712;1;1;5;5;6;4;By using energy efficient devices;24;6;29;41;0;0;29;53;18;0;2;3;4;2;61;4;1;1;5
387;0;1;4;5;1;2;use less;40;40;10;10;0;10;60;10;20;0;3;8;4;1;47;4;2;1;5
305;1;1;3;4;1;1;Get finished as quickly as possible.;0;0;0;0;100;0;90;10;0;0;2;3;7;2;59;3;1;1;5
195;0;1;3;5;3;5;Not use it as much.;50;30;20;0;0;25;25;50;0;0;2;6;3;1;30;4;1;1;5
242;0;1;3;7;6;6;I really don't know. I use energy efficient computers and laptops. Try to hurry I guess, ;26;21;31;22;0;32;23;4;40;1;2;4;6;2;58;2;1;1;5
399;1;1;2;2;2;2;limit the size of responses;19;40;5;36;0;0;10;90;0;0;4;3;4;1;53;2;1;1;5
312;0;1;3;5;4;4;I do not know;20;20;20;20;20;20;20;20;20;20;1;4;6;1;25;4;1;2;5
270;1;1;3;3;4;4;I've never really thought about how much energy AI uses. I think not overusing it -- for example, only using it for a purpose, not just to joke around or play with it -- is a good way to start.;20;40;10;30;0;20;50;10;20;0;2;4;3;2;36;3;1;1;5
466;0;1;4;5;3;3;no idea;0;50;0;50;0;0;35;31;34;0;1;3;5;2;48;4;1;1;5
459;1;1;4;5;5;6;Because AI help to finish something that would have taken much more time than expected.;11;37;37;13;2;25;17;40;14;4;5;7;6;2;50;6;1;2;5
306;0;1;3;4;1;1;AI could help me reach my task quicker so I could turn my computer off sooner thus saving energy.  ;0;50;0;50;0;0;0;100;0;0;2;3;7;2;47;4;1;1;5
212;1;1;3;3;7;7;i have no idea;30;30;10;30;0;30;30;10;30;0;2;3;1;3;23;3;1;2;5
558;1;1;5;7;4;4;Turn off other things near me that consume a lot of energy, such as heaters, fans, playing a movie or the news on the tvetc. ;0;100;0;0;0;0;0;100;0;0;5;6;7;2;59;1;1;1;5
1785;0;1;5;5;6;6;I have to explore more to discover the most easiest ways and tools in the AI in order to save time and energy.;15;6;20;59;0;6;5;24;65;0;6;2;4;1;21;1;1;2;5
911;1;1;3;3;2;2;Be as brief and quick as possible ;10;10;20;60;0;0;15;75;10;0;3;7;5;2;47;3;2;1;5
834;0;1;5;5;5;5;I could save energy by being mindful of my queries and using AI only when necessary.;10;25;25;40;0;10;30;20;40;0;2;4;2;2;59;4;1;1;5
813;1;1;3;5;3;3;I dont think it consumes as much energy. I guess seeing if we can have small devices that don't ned much energy to be plugged in. ;25;25;20;30;0;25;30;15;30;0;3;1;4;2;23;6;1;2;5
372;0;1;5;4;5;4;I could personally consider when exactly I should use AI and when I shouldn't use AI.;3;24;13;15;45;13;21;26;7;33;2;3;4;2;24;5;1;1;5
213;1;1;2;4;5;5;Use it sparingly and for very specific cases.;50;8;7;35;0;50;45;5;0;0;2;6;2;2;45;6;1;2;5
296;1;1;3;4;5;5;Think about what my plan is and not generate tiny tasks repeatedly.;20;30;10;40;0;20;60;20;0;0;2;1;3;1;28;3;2;2;5
436;0;1;4;6;6;6;I would not use it constantly throughout the day and start using it when needed.;10;60;5;25;0;5;70;5;20;0;2;4;2;1;29;4;1;2;5
323;1;1;4;5;5;5;Consolidate my prompts.;0;80;3;17;0;51;8;41;0;0;4;4;3;2;37;4;1;1;5
1791;0;1;3;5;4;4;The most effective actions to save energy with AI include minimizing usage when neccessary,choosing energy-efficient models,and using cloud services that prioritize sustainability. Additionally, supporting research into green AI practices helps reduce the environmental impact of AI.These steps ensure we can benefit from AI while minimizing its energy consumption and carbon footprint.;29;25;23;23;0;0;0;100;0;0;5;7;2;1;39;6;1;2;5
322;0;1;5;4;6;6;minimize the time i spend on it.;30;30;20;20;0;30;20;20;30;0;4;4;1;1;33;4;1;2;5
1211;1;1;3;5;6;5;Encouraging more responsibilities and efficient use of AI application such as limiting excessive queries or computationally intensive tasks ;39;12;21;28;0;12;28;33;27;0;3;2;7;2;61;4;2;2;5
278;1;1;2;3;2;2;Not use it?;25;50;0;25;0;0;50;15;35;0;1;2;2;2;38;2;1;2;5
607;0;1;3;4;5;4;use the ai speaking tool instead of typing in information to describe something, you can just describe it by speaking to it ;10;10;40;40;0;20;50;10;10;10;3;2;3;2;29;3;2;2;5
1405;0;1;3;3;1;1;Instead of multiple small interactions, combine them into one well-thought-out query.;0;0;100;0;0;0;0;100;0;0;2;6;4;2;59;4;1;1;5
406;1;1;4;6;6;7;To give the right command to enable you get what you want at the first response;10;20;45;25;0;10;35;20;35;0;1;2;4;2;30;6;1;2;5
935;0;1;2;4;5;6;To save energy when using generative AI, I’d focus on making sure my requests are clear and to the point. By doing so, I can avoid unnecessary steps and make the process more efficient, which ultimately helps reduce the energy used. Basically, the more focused and concise the task, the less energy is needed to complete it.;5;25;50;20;0;15;20;50;15;0;4;8;4;2;49;6;1;1;5
467;1;1;2;2;7;7;If I was capable of doing a task AI could do, I'd just do it. It'd be more accurate if I did it myself anyhow.;20;30;20;30;0;30;25;25;20;0;3;3;1;2;20;3;1;2;5
452;1;1;3;4;6;6;Make good decisions on what may lower your amount of effort to complete a task with AI instead of a task that you could have completed with out in same amount of time.;0;40;20;40;0;0;40;20;40;0;5;6;6;1;42;4;2;1;5
1261;0;1;5;7;1;1;To save energy when using generative AI, one of the most effective actions would be to optimize the efficiency of the model and its usage.;20;13;23;44;0;12;18;53;17;0;4;5;6;1;33;6;1;2;5
319;1;1;1;1;2;4;I'm not entirely sure, I never gave it much thought. ;50;30;5;15;0;20;15;60;5;0;2;5;4;2;24;4;2;1;5
555;0;1;4;6;6;6;I could focus on using AI only when needed and keep my questions short and clear to save energy;20;20;40;20;0;5;15;65;15;0;3;6;7;1;39;6;1;2;5
438;0;1;1;2;6;5;not to use AI at all;0;0;0;100;0;0;0;100;0;0;4;4;6;2;40;4;1;2;5
484;0;1;4;4;6;5;Ask the right questions in the most simplest way;10;10;10;70;0;30;20;40;10;0;2;2;2;2;55;4;1;2;5
651;1;1;5;7;6;6;keep interactions concise, focus on clear questions, avoid over-processing, and minimize idle or unnecessary usage.;6;29;32;33;0;19;29;23;23;6;5;4;4;2;23;5;1;2;5
891;1;1;3;6;5;5;Use it less.;0;0;47;53;0;0;17;83;0;0;1;2;1;1;40;1;2;2;5
429;0;1;3;6;4;4;Not sure;0;0;0;0;100;0;0;100;0;0;3;4;4;2;48;4;1;1;5
320;1;1;2;5;5;7;Quickly use it, I never use it for too long.;25;10;25;40;0;0;25;50;25;0;3;4;2;2;27;2;1;1;5
1220;0;1;5;6;2;3;by using efficient hardware;10;30;10;50;0;30;30;10;30;0;2;3;5;1;26;4;1;1;5
708;1;1;5;7;5;4;The most effective way to save energy when using generative AI is to minimize unnecessary queries and request concise, clear answers. This reduces computational load and energy consumption.;25;75;0;0;0;43;55;0;2;0;4;2;1;1;28;4;2;2;5
316;1;1;2;2;5;1;Limited use;40;25;25;10;0;25;25;25;25;0;2;5;1;2;34;4;1;2;5
777;0;1;4;6;1;1;To be quick and precise with my promp;11;16;38;17;18;8;9;74;9;0;6;6;4;1;52;6;1;1;5
302;0;1;1;2;4;4;Use it only for tasks that absolutely need it.;15;5;45;35;0;5;15;70;10;0;5;4;2;1;39;3;2;1;5
272;1;1;3;3;5;5;Only use it when needed then close the application.;20;40;15;20;5;10;20;60;10;0;1;4;2;2;29;6;1;1;5
458;0;1;4;5;5;4;In AI is using the lot of energy.To reduce the unwanted electricity .;20;20;30;30;0;20;40;10;20;10;4;5;6;1;22;5;1;2;5
752;1;1;2;5;5;7;turn off things that are not in use;26;15;8;50;1;0;40;0;60;0;3;4;4;2;50;2;2;1;5
342;0;1;3;4;4;4;I'm not sure, but perhaps using AI sporadically and only when absolutely necessary. Using dark mode to prevent the use of white light. ;20;15;10;55;0;0;40;25;35;0;2;5;3;2;31;6;1;1;5
787;1;1;4;6;3;4;I think getting my work done as quick as possible and not delaying it by not being focused is the best thing to do.;5;20;30;45;0;10;35;20;35;0;4;5;2;2;45;4;1;2;5
614;0;1;5;6;1;2;Be Clear and Specific with Queries  1.Formulate well-thought-out, concise questions or prompts to reduce the need for multiple interactions or iterations.   2. Avoid vague or overly broad queries that may require follow-ups to refine.  Limit Unnecessary Usage  1. Use generative AI only when necessary. For example, avoid asking questions out of curiosity if they don’t serve a meaningful purpose.  2. Consolidate multiple related queries into a single session rather than spreading them out.  Choose Energy-Efficient Tools  Select platforms or models optimized for energy efficiency or those that disclose using green energy for data processing.;40;15;5;20;20;40;5;50;5;0;2;2;6;1;34;6;1;2;5
937;1;1;4;6;6;6;To save energy when using generative AI, a practical approach would be to optimize usage and minimize unnecessary interactions;15;20;30;30;5;15;30;30;20;5;4;5;2;1;70;6;1;2;5
492;1;1;2;2;5;5;Only use AI when I need to. I don't know if there is any other way for me to conserve.;23;25;10;42;0;8;26;41;25;0;1;3;6;1;68;3;1;1;5
788;0;1;3;4;7;7;I would only give it task that would take me a log time and energy to complete.  If it can do a task faster then me I would use it. ;17;30;18;33;2;0;16;76;6;2;2;4;2;1;66;4;1;2;5
519;0;1;3;4;2;3;Use sparingly for resource heavy applications or consider alternative power generation if resource heavy applications will be used continually;30;0;20;50;0;31;0;19;50;0;3;4;4;1;46;3;1;1;5
501;1;1;2;2;5;6;don't use it;20;0;0;80;0;5;15;10;70;0;2;8;6;2;66;4;1;2;5
